标题,iF,分区
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,3.827,Q1 Q1Q1Q2Q2
CHINESE JOURNAL OF CHEMISTRY,3.826,Q2
PLANT CELL REPORTS,3.825,Q1
MOLECULAR CARCINOGENESIS,3.825,Q2 Q2Q2
OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,3.824,Q1
Electronic Commerce Research and Applications,3.824,Q1 Q2Q1Q1
QUALITATIVE INQUIRY,3.823,Q1
Journal of International Management,3.821,Q2
International Journal of Health Policy and Management,3.821,Q1 Q1Q1
JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,3.821,Q2
Journal of Positive Psychology,3.819,Q1
GEOMORPHOLOGY,3.819,Q1 Q1Q1
APL Materials,3.819,Q1 Q2Q2Q1
JOURNAL OF KING SAUD UNIVERSITY SCIENCE,3.819,Q2
COMPUTERS AND GEOTECHNICS,3.818,Q1 Q1Q1Q1
Harm Reduction Journal,3.818,Q1
Journal of Hospitality & Tourism Research,3.816,Q1
Human Resource Management Journal,3.816,Q1 Q1Q2
Viruses-Basel,3.816,Q2
npj Systems Biology and Applications,3.813,Q1
European Heart Journal-Acute Cardiovascular Care,3.813,Q2
JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,3.813,Q2 Q2Q2
ENDOCRINOLOGY AND METABOLISM CLINICS OF NORTH AMERICA,3.813,Q2
Surgery for Obesity and Related Diseases,3.812,Q1
METHODS,3.812,Q1 Q1Q2
BRITISH JOURNAL OF POLITICAL SCIENCE,3.811,Q1
PLANT DISEASE,3.809,Q1
JOURNAL OF ELECTROANALYTICAL CHEMISTRY,3.807,Q1 Q1Q2
ORGANOMETALLICS,3.804,Q1 Q1Q1
CRITICAL CARE CLINICS,3.804,Q2
QUATERNARY SCIENCE REVIEWS,3.803,Q1 Q1Q1
INTERNATIONAL ENDODONTIC JOURNAL,3.801,Q1
Aesthetic Surgery Journal,3.799,Q1
POLICY STUDIES JOURNAL,3.797,Q1 Q1Q1
FARADAY DISCUSSIONS,3.797,Q2
Metallomics,3.796,Q2
Biology-Basel,3.796,Q1
AIDS PATIENT CARE AND STDS,3.795,Q1 Q2Q1
MINERALS ENGINEERING,3.795,Q1 Q2Q1Q1
Expert Review of Clinical Immunology,3.792,Q2
MOLECULAR BIOLOGY OF THE CELL,3.791,Q2
Complex & Intelligent Systems,3.791,Q2
MARINE AND PETROLEUM GEOLOGY,3.79,Q1
Geocarto International,3.789,Q1 Q2Q1Q2Q2
PREVENTIVE MEDICINE,3.788,Q1 Q1Q1
Journal of Cell Communication and Signaling,3.788,Q2
CANCER CYTOPATHOLOGY,3.787,Q1 Q2Q1
JAMA Facial Plastic Surgery,3.787,Q1
EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,3.786,Q1
SURFACE & COATINGS TECHNOLOGY,3.784,Q1 Q1Q1
INTERNATIONAL JOURNAL OF NURSING STUDIES,3.783,Q1 Q1Q1
Journal of Science-Advanced Materials and Devices,3.783,Q2 Q2Q2
JOURNAL OF NATURAL PRODUCTS,3.782,Q1 Q2Q2Q1
Canadian Journal of Anesthesia-Journal canadien d anesthesie,3.779,Q2
LIMNOLOGY AND OCEANOGRAPHY,3.778,Q1 Q1Q1
Tissue Engineering Part A,3.776,Q1 Q2Q2Q1Q2
FOREIGN AFFAIRS,3.775,Q1
LAND DEGRADATION & DEVELOPMENT,3.775,Q1 Q2Q1
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,3.775,Q2 Q2Q2
Socio-Economic Review,3.774,Q1 Q1Q1Q1
JOURNAL OF ACCOUNTING RESEARCH,3.773,Q1
International Soil and Water Conservation Research,3.77,Q1 Q2Q1Q1
Expert Review of Anti-Infective Therapy,3.767,Q2 Q2Q2Q2
IEEE ANTENNAS AND PROPAGATION MAGAZINE,3.765,Q1 Q1Q2
CHAOS SOLITONS & FRACTALS,3.764,Q1 Q1Q1Q1
IMMUNOLOGY AND CELL BIOLOGY,3.764,Q2 Q2Q2
Journal of Energy Storage,3.762,Q2
Cancer Research and Treatment,3.761,Q2
Journal of Diabetes Investigation,3.761,Q2
Anatomical Sciences Education,3.759,Q1
SCHIZOPHRENIA RESEARCH,3.759,Q1 Q2Q1
Genes,3.759,Q2
COMMUNICATION RESEARCH,3.758,Q1
MEDIATORS OF INFLAMMATION,3.758,Q2 Q2Q2
JOURNAL OF LEUKOCYTE BIOLOGY,3.757,Q2 Q2Q2Q2
International Small Business Journal-Researching Entrepreneurship,3.756,Q2 Q2Q2
Reviews in Fisheries Science & Aquaculture,3.755,Q1
BREAST,3.754,Q1 Q1Q2
Skeletal Muscle,3.754,Q2
International Journal of Machine Learning and Cybernetics,3.753,Q2
PEST MANAGEMENT SCIENCE,3.75,Q1 Q1Q1
COMPUTERIZED MEDICAL IMAGING AND GRAPHICS,3.75,Q1 Q1Q1
Geochemical Perspectives,3.75,Q1
Journal of the Royal Society Interface,3.748,Q2
ADVANCES IN ANATOMIC PATHOLOGY,3.746,Q1
JOURNAL OF PSYCHIATRIC RESEARCH,3.745,Q1 Q2Q1
IEEE Access,3.745,Q1 Q1Q1Q2
PATHOLOGY,3.744,Q1
AMERICAN NATURALIST,3.744,Q1 Q1Q2
JOURNAL OF SUPERCRITICAL FLUIDS,3.744,Q2 Q2Q2
Current Topics in Membranes,3.744,Q1 Q2Q1
Expert Review of Neurotherapeutics,3.743,Q2 Q2Q2
JOURNAL OF PERIODONTOLOGY,3.742,Q1
Obesity,3.742,Q2 Q2Q2
EUROPEAN JOURNAL OF SOIL SCIENCE,3.742,Q1
INTERNATIONAL JOURNAL OF ENERGY RESEARCH,3.741,Q1 Q2Q1
EUROPEAN CELLS & MATERIALS,3.741,Q1 Q3Q1Q2Q1
JOINT BONE SPINE,3.741,Q2
BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,3.74,Q2
PALLIATIVE MEDICINE,3.739,Q1 Q1Q1Q1
AAPS Journal,3.737,Q2
PEDOSPHERE,3.736,Q1
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,3.733,Q1 Q1Q1Q1Q1
JOURNAL OF URBAN TECHNOLOGY,3.733,Q1
Chemical Engineering and Processing-Process Intensification,3.731,Q2 Q2Q2
Journal of Asthma and Allergy,3.73,Q2 Q2Q2Q2
Autism Research,3.727,Q1 Q1Q1
DEVELOPMENTAL REVIEW,3.727,Q1
EUROPEAN JOURNAL OF AGRONOMY,3.726,Q1
IEEE Antennas and Wireless Propagation Letters,3.726,Q1 Q1Q2
FOOD AND BIOPRODUCTS PROCESSING,3.726,Q1 Q2Q2Q1
AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,3.725,Q1 Q2Q1
Surfaces and Interfaces,3.724,Q1 Q2Q1Q1Q2
JOURNAL OF ACCOUNTING & ECONOMICS,3.723,Q1 Q1Q1
CLINICAL ORAL IMPLANTS RESEARCH,3.723,Q1 Q1Q2
JOURNAL OF BIOGEOGRAPHY,3.723,Q1 Q1Q1
CHEMICO-BIOLOGICAL INTERACTIONS,3.723,Q1 Q2Q2Q1
DEVELOPMENTAL SCIENCE,3.722,Q1 Q1Q1
Current Opinion in HIV and AIDS,3.722,Q2 Q2Q2
JOURNAL OF FOOD COMPOSITION AND ANALYSIS,3.721,Q1 Q1Q1
JOURNAL OF THE ELECTROCHEMICAL SOCIETY,3.721,Q1 Q2Q1
PLANT PHYSIOLOGY AND BIOCHEMISTRY,3.72,Q1
JOURNAL OF GEOPHYSICAL RESEARCH-PLANETS,3.717,Q1
Language Teaching,3.714,Q1 Q1Q1
OPTICS LETTERS,3.714,Q1
JOURNAL OF RHEOLOGY,3.711,Q1
JOURNAL OF ARTHROPLASTY,3.709,Q1
Natural Resources Research,3.708,Q1
Environmental Evidence,3.708,Q2
HARMFUL ALGAE,3.707,Q1
Frontiers in Neuroscience,3.707,Q2
ASSESSMENT,3.706,Q1
NUCLEAR FUSION,3.706,Q1
JOURNAL OF PETROLEUM SCIENCE AND ENGINEERING,3.706,Q1 Q2Q1
INTERNATIONAL AFFAIRS,3.705,Q1
TOXICOLOGICAL SCIENCES,3.703,Q1
PSYCHOSOMATIC MEDICINE,3.702,Q1 Q2Q1Q1Q1
Journal of Functional Foods,3.701,Q1 Q1Q2
BEST PRACTICE & RESEARCH CLINICAL ENDOCRINOLOGY & METABOLISM,3.701,Q2
ACTA ONCOLOGICA,3.701,Q2
JOURNAL OF PEDIATRICS,3.7,Q1
Studies in Science Education,3.7,Q1 Q1Q1
Human-centric Computing and Information Sciences,3.7,Q1
NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,3.7,Q2 Q2Q2Q2
IT Professional,3.7,Q1 Q1Q1Q2
CELL CYCLE,3.699,Q2
JOURNAL OF HUMAN RESOURCES,3.698,Q1 Q1Q1
EVOLUTION,3.698,Q1 Q1Q2Q2
JOURNAL OF COUNSELING PSYCHOLOGY,3.697,Q1 Q1Q1
JOURNAL OF DIGITAL IMAGING,3.697,Q1
Biomedical Journal,3.697,Q2 Q2Q2
MOLECULAR PLANT-MICROBE INTERACTIONS,3.696,Q1 Q2Q2Q1
DERMATOLOGY,3.695,Q1
EARTH SURFACE PROCESSES AND LANDFORMS,3.694,Q1 Q2Q1
Cell Adhesion & Migration,3.694,Q2
HEARING RESEARCH,3.693,Q1 Q1Q2Q1
Frontiers in Chemistry,3.693,Q2
PSYCHOPHYSIOLOGY,3.692,Q1 Q2Q1Q1Q1Q1
JOURNAL OF EPIDEMIOLOGY,3.691,Q1
JOURNAL OF ETHNOPHARMACOLOGY,3.69,Q1 Q2Q1Q2Q1
Human Resource Development Quarterly,3.688,Q1 Q1Q2Q1
Molecular Catalysis,3.687,Q2
Current Diabetes Reports,3.686,Q2
HORMONES AND BEHAVIOR,3.684,Q1 Q1Q2
JOURNAL OF SEX RESEARCH,3.683,Q1 Q1Q1
Pigment Cell & Melanoma Research,3.683,Q1 Q3Q1Q2
AMERICAN JOURNAL OF CHINESE MEDICINE,3.682,Q1 Q1Q1
LAND USE POLICY,3.682,Q1
GEOTHERMICS,3.682,Q1 Q2Q1
JOURNAL OF DERMATOLOGICAL SCIENCE,3.681,Q1
IEEE TRANSACTIONS ON POWER DELIVERY,3.681,Q1
ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,3.681,Q1 Q1Q1
JOURNAL FOR RESEARCH IN MATHEMATICS EDUCATION,3.676,Q1
FEMS MICROBIOLOGY ECOLOGY,3.675,Q2
INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,3.673,Q2 Q2Q3
Archives of Civil and Mechanical Engineering,3.672,Q1 Q1Q1Q2
IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS,3.672,Q1 Q1Q1Q2
OPTICS EXPRESS,3.669,Q1
INTERNATIONAL JOURNAL OF EATING DISORDERS,3.668,Q1 Q2Q2Q1Q1Q1
Atmospheric Measurement Techniques,3.668,Q2
JOURNAL OF PERSONALITY,3.667,Q1
BIOGERONTOLOGY,3.667,Q2
Cell Division,3.667,Q3
WORLD JOURNAL OF GASTROENTEROLOGY,3.665,Q2
MOLECULAR PHARMACOLOGY,3.664,Q2
COMPUTERS & STRUCTURES,3.664,Q1 Q1Q1
JOURNAL DER DEUTSCHEN DERMATOLOGISCHEN GESELLSCHAFT,3.664,Q1
Blood Transfusion,3.662,Q2
Frontiers in Marine Science,3.661,Q1
Annals of Clinical and Translational Neurology,3.66,Q2 Q2Q2
GeoHealth,3.66,Q1 Q2Q1
Sustainable Production and Consumption,3.66,Q1 Q1Q2Q2
CLINICAL TOXICOLOGY,3.659,Q1
CANCER BIOLOGY & THERAPY,3.659,Q2
IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,3.658,Q1 Q1Q1
Annals of Physical and Rehabilitation Medicine,3.657,Q1
INTERNATIONAL GEOLOGY REVIEW,3.657,Q1
EUROPEAN JOURNAL OF HUMAN GENETICS,3.657,Q2 Q2Q2
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,3.656,Q1 Q1Q1
JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,3.656,Q2
Open Forum Infectious Diseases,3.656,Q2 Q2Q2Q2
ACCIDENT ANALYSIS AND PREVENTION,3.655,Q1 Q1Q1Q1Q1
TREE PHYSIOLOGY,3.655,Q1
INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,3.655,Q2 Q2Q2
Journal of Competitiveness,3.649,Q1 Q2Q1Q2
RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES,3.649,Q1
Tourism Management Perspectives,3.648,Q1 Q1Q2
SOCIOLOGY OF EDUCATION,3.647,Q1 Q1Q1
LIFE SCIENCES,3.647,Q2 Q2Q2
Food & Nutrition Research,3.647,Q1 Q1Q2
ADDICTIVE BEHAVIORS,3.645,Q1 Q1Q2Q1
Journal of Hydrology-Regional Studies,3.645,Q1
MEAT SCIENCE,3.644,Q1
Big Data,3.644,Q1 Q2Q1
Frontiers in Endocrinology,3.644,Q2
Frontiers in Bioengineering and Biotechnology,3.644,Q2
Ad Hoc Networks,3.643,Q1 Q1Q2
INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,3.642,Q1 Q1Q1
Neurosurgical Focus,3.642,Q1 Q2Q1
CIRP ANNALS-MANUFACTURING TECHNOLOGY,3.641,Q1 Q1Q2
MOLECULAR IMMUNOLOGY,3.641,Q2 Q2Q2
JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,3.639,Q1
ANNALS OF THORACIC SURGERY,3.639,Q1 Q2Q2Q1
NUTRITION,3.639,Q2
International Journal of Greenhouse Gas Control,3.639,Q2 Q2Q2Q2
Nanotechnology Reviews,3.639,Q1 Q2Q2Q2Q1
STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,3.638,Q1 Q1Q1
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,3.637,Q1 Q1Q1
Immune Network,3.637,Q2
PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,3.636,Q1 Q1Q1
MOLECULAR HUMAN REPRODUCTION,3.636,Q1 Q1Q1Q1
IMA Fungus,3.636,Q1
MAGNETIC RESONANCE IN MEDICINE,3.635,Q1
VIRTUAL REALITY,3.634,Q1 Q2Q1Q2
Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity,3.634,Q2
APPLIED MATHEMATICAL MODELLING,3.633,Q1 Q1Q1Q1
COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,3.632,Q1 Q2Q1Q2Q1
MATURITAS,3.63,Q1 Q2Q1
INFORMATION SYSTEMS FRONTIERS,3.63,Q1 Q2Q1
PANCREATOLOGY,3.629,Q2
JOURNAL OF GENERAL PHYSIOLOGY,3.628,Q1
COMPUTER PHYSICS COMMUNICATIONS,3.627,Q1 Q2Q1
HISTOPATHOLOGY,3.626,Q1 Q3Q1
JOURNAL OF INFORMATION TECHNOLOGY,3.625,Q1 Q2Q1Q2
JOURNAL OF PROCESS CONTROL,3.624,Q2 Q2Q2
JOURNAL OF SLEEP RESEARCH,3.623,Q2 Q2Q2
JOURNAL OF CARDIAC FAILURE,3.623,Q2
Journal of Flow Chemistry,3.622,Q2
SOCIAL SCIENCE & MEDICINE,3.616,Q1 Q1Q1Q1
EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,3.616,Q2
Rheumatology and Therapy,3.615,Q2
Expert Review of Proteomics,3.614,Q1
Smart Materials and Structures,3.613,Q1 Q1Q2
EUROPEAN UROLOGY SUPPLEMENTS,3.613,Q1
CATALYSIS COMMUNICATIONS,3.612,Q2
BRITISH JOURNAL OF OPHTHALMOLOGY,3.611,Q1
Human Gene Therapy Clinical Development,3.611,Q2 Q2Q2
MOLECULAR AND CELLULAR BIOLOGY,3.611,Q2 Q2Q3
Plant Methods,3.61,Q1 Q2Q1
GPS SOLUTIONS,3.61,Q2
Energy for Sustainable Development,3.61,Q2 Q2Q3
POLICY SCIENCES,3.609,Q1 Q1Q1
IEEE Robotics and Automation Letters,3.608,Q1
APPETITE,3.608,Q1 Q1Q2
JOURNAL OF SCIENCE AND MEDICINE IN SPORT,3.607,Q1
Future Medicinal Chemistry,3.607,Q2
International Journal of Advertising,3.606,Q1 Q2Q1
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,3.606,Q1 Q2Q1
CELLULAR AND MOLECULAR NEUROBIOLOGY,3.606,Q2 Q3Q2
PRODUCTION PLANNING & CONTROL,3.605,Q1 Q2Q2Q1
AUTONOMOUS ROBOTS,3.602,Q1 Q2Q1
JOURNAL OF TEACHER EDUCATION,3.6,Q1
HUMAN RELATIONS,3.6,Q1 Q2Q1
APPLIED PHYSICS LETTERS,3.597,Q1
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,3.595,Q1
Energy Reports,3.595,Q2
Antimicrobial Resistance and Infection Control,3.594,Q1 Q2Q2Q1
BMC GENOMICS,3.594,Q2 Q2Q2
MICROCHEMICAL JOURNAL,3.594,Q1
Annual Review of Economics,3.591,Q1
PLANT SCIENCE,3.591,Q1 Q2Q1
IEEE ROBOTICS & AUTOMATION MAGAZINE,3.591,Q2 Q2Q2
JOURNAL OF THE LEARNING SCIENCES,3.588,Q1 Q1Q1
INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS,3.588,Q1
JOURNAL OF ENGINEERING TECHNOLOGY,3.588,Q1
Journal of Clinical Sleep Medicine,3.586,Q2
INFORMATION SYSTEMS RESEARCH,3.585,Q1 Q1Q2
STATISTICAL SCIENCE,3.583,Q1
Journal of Field Robotics,3.581,Q2
Mindfulness,3.581,Q1 Q1Q1
COMPUTERS & SECURITY,3.579,Q2
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,3.579,Q1 Q2Q1Q2
Insights into Imaging,3.579,Q1
3D Printing and Additive Manufacturing,3.579,Q2 Q2Q2
CLINICAL GENETICS,3.578,Q2
Nanoscale Research Letters,3.578,Q1 Q2Q2Q1
CURRENT ALLERGY AND ASTHMA REPORTS,3.577,Q2 Q2Q2
International Journal of Qualitative Methods,3.576,Q1
MYCOSES,3.575,Q1 Q1Q1
PHYSICAL REVIEW B,3.575,Q2 Q2Q2Q2
INTERNATIONAL JOURNAL OF HYPERTHERMIA,3.574,Q1 Q2Q1
JOURNAL OF INTERPERSONAL VIOLENCE,3.573,Q1 Q1Q1Q1
INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,3.573,Q2
Expert Review of Anticancer Therapy,3.573,Q2
Social Cognitive and Affective Neuroscience,3.571,Q1 Q2Q1Q1
DIGESTIVE AND LIVER DISEASE,3.57,Q2
PHYSICA E-LOW-DIMENSIONAL SYSTEMS & NANOSTRUCTURES,3.57,Q2 Q2Q2
TOXICOLOGY LETTERS,3.569,Q1
Journal of Cancer,3.565,Q2
PHARMACOECONOMICS,3.563,Q1 Q1Q1Q1Q2
Perspectives in Ecology and Conservation,3.563,Q1
MATERIALS CHARACTERIZATION,3.562,Q1 Q1Q2Q1
JOURNAL OF MOLECULAR ENDOCRINOLOGY,3.562,Q2
JOURNAL OF PHARMACOLOGY AND EXPERIMENTAL THERAPEUTICS,3.561,Q2
JOURNAL OF VIRAL HEPATITIS,3.561,Q2 Q2Q2Q2
EUROPEAN EATING DISORDERS REVIEW,3.56,Q1
JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS,3.559,Q1
GEOLOGICAL SOCIETY OF AMERICA BULLETIN,3.558,Q1
JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,3.558,Q1
Translational Oncology,3.558,Q2
Smart Structures and Systems,3.557,Q1 Q1Q1Q1
LANGMUIR,3.557,Q2 Q2Q2Q2
HIV MEDICINE,3.556,Q2
CULTURAL ANTHROPOLOGY,3.554,Q1
JOURNAL OF MATERIALS SCIENCE,3.553,Q2
Frontiers of Chemical Science and Engineering,3.552,Q2
BIOMASS & BIOENERGY,3.551,Q1 Q1Q2Q2
Journal of Oncology Practice,3.551,Q2
NANOTECHNOLOGY,3.551,Q2 Q2Q2Q2
Clinical Lung Cancer,3.55,Q2
YALE JOURNAL OF BIOLOGY AND MEDICINE,3.549,Q1
United European Gastroenterology Journal,3.549,Q2
ENGINEERING STRUCTURES,3.548,Q1
Minerva Urologica E Nefrologica,3.548,Q1
World Journal of Psychiatry,3.545,Q2
JOURNAL OF RURAL STUDIES,3.544,Q1 Q1Q1
SEMINARS IN NUCLEAR MEDICINE,3.544,Q1
eNeuro,3.544,Q2
READING RESEARCH QUARTERLY,3.543,Q1 Q1Q1
TECTONICS,3.543,Q1
HUMAN COMMUNICATION RESEARCH,3.54,Q1
Seminars in Fetal & Neonatal Medicine,3.54,Q1
GERONTOLOGY,3.54,Q2
NEW JOURNAL OF PHYSICS,3.539,Q1
MODERN LANGUAGE JOURNAL,3.538,Q1 Q1Q1
HEART FAILURE REVIEWS,3.538,Q2
CORAL REEFS,3.536,Q1
Climate of the Past,3.536,Q1 Q1Q2
JMIR Mental Health,3.535,Q2
JOURNAL OF HUMAN EVOLUTION,3.534,Q1 Q1Q2
Probiotics and Antimicrobial Proteins,3.533,Q2 Q2Q2
Bone & Joint Research,3.532,Q1 Q3Q1
CLINICAL AND EXPERIMENTAL IMMUNOLOGY,3.532,Q2
Journal of Exposure Science and Environmental Epidemiology,3.531,Q1 Q2Q1Q1
Toxins,3.531,Q1 Q1Q1
INTERNATIONAL JOURNAL FOR PARASITOLOGY,3.53,Q1
APPLIED MICROBIOLOGY AND BIOTECHNOLOGY,3.53,Q2
MEDICAL CLINICS OF NORTH AMERICA,3.529,Q1
INTERNATIONAL JOURNAL OF ENTREPRENEURIAL BEHAVIOR & RESEARCH,3.529,Q2 Q2Q2
International Journal of Sports Physiology and Performance,3.528,Q1 Q1Q1
Finance Research Letters,3.527,Q1
Atmospheric Pollution Research,3.527,Q2
JMIR Serious Games,3.526,Q2
JOURNAL OF BIOMEDICAL INFORMATICS,3.526,Q2 Q2Q2
INVESTIGATIONAL NEW DRUGS,3.525,Q2 Q2Q2
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,3.525,Q2 Q2Q2
Orphanet Journal of Rare Diseases,3.523,Q2 Q2Q2
COMMON MARKET LAW REVIEW,3.522,Q1 Q1Q1
Therapeutic Advances in Gastroenterology,3.52,Q2
Catalysts,3.52,Q2
Journal of NeuroEngineering and Rehabilitation,3.519,Q1 Q2Q2Q1
CLINICS IN PERINATOLOGY,3.519,Q1 Q1Q1
AICHE JOURNAL,3.519,Q2
INTERNATIONAL IMMUNOLOGY,3.519,Q2
MECHANICS OF ADVANCED MATERIALS AND STRUCTURES,3.517,Q1 Q1Q2Q2Q1
Journal of Saudi Chemical Society,3.517,Q2
ICARUS,3.516,Q2
Interface Focus,3.514,Q1
PHYSICS OF FLUIDS,3.514,Q1 Q1Q1
Obesity Facts,3.514,Q2 Q2Q2
Expert Review of Gastroenterology & Hepatology,3.514,Q2
Internet Interventions-The Application of Information Technology in Mental and Behavioural Health,3.513,Q1 Q1Q2Q2Q1
JOURNAL OF ANALYTICAL TOXICOLOGY,3.513,Q1 Q1Q1
Journal of Service Theory and Practice,3.512,Q2 Q2Q2
WORK AND STRESS,3.512,Q1
ECOLOGICAL ENGINEERING,3.512,Q1 Q1Q2Q2
Biochimica et Biophysica Acta-Gene Regulatory Mechanisms,3.51,Q1 Q2Q1
Journal of Proteomics,3.509,Q2
Neurology-Genetics,3.509,Q2 Q2Q2
APPLIED GEOGRAPHY,3.508,Q1
Elements,3.507,Q1 Q1Q1
World Allergy Organization Journal,3.506,Q2 Q3Q2
JOURNAL OF NEURAL TRANSMISSION,3.505,Q2 Q2Q2
Current Opinion in Endocrinology Diabetes and Obesity,3.504,Q2
INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,3.503,Q1 Q2Q2Q1
JOURNAL OF BIOTECHNOLOGY,3.503,Q2
JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,3.502,Q1 Q2Q1Q1Q1
JOURNAL OF THE AMERICAN CERAMIC SOCIETY,3.502,Q1
SCIENCE EDUCATION,3.5,Q1
WORLD BANK RESEARCH OBSERVER,3.5,Q1 Q1Q1
Structural Control & Health Monitoring,3.499,Q1 Q1Q1Q1
JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY,3.498,Q1 Q1Q1
Accounting Auditing & Accountability Journal,3.497,Q1
BMC PLANT BIOLOGY,3.497,Q1
MOLECULAR PHYLOGENETICS AND EVOLUTION,3.496,Q2 Q2Q2Q2
SEMINARS IN NEPHROLOGY,3.495,Q1
JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,3.493,Q2 Q2Q2Q2
EUROPEAN JOURNAL OF PAIN,3.492,Q2 Q2Q2Q2
Experimental Hematology & Oncology,3.492,Q2 Q2Q2
AMERICAN JOURNAL OF PATHOLOGY,3.491,Q1
Cancer Medicine,3.491,Q2
Journal of Pathology Clinical Research,3.489,Q2
IEEE TRANSACTIONS ON INDUSTRY APPLICATIONS,3.488,Q1 Q2Q1
Progress in Physical Geography-Earth and Environment,3.488,Q1 Q2Q1
Journal of Neurodevelopmental Disorders,3.487,Q2 Q2Q2
EUROPEAN JOURNAL OF CARDIO-THORACIC SURGERY,3.486,Q1 Q2Q2Q1
AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,3.485,Q1 Q3Q1
JOURNAL OF NEPHROLOGY,3.484,Q1
JOURNAL OF MACHINE LEARNING RESEARCH,3.484,Q2 Q2Q2
Educational Researcher,3.483,Q1
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,3.483,Q2 Q2Q2
EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,3.481,Q1 Q1Q2
Regional Environmental Change,3.481,Q2 Q2Q2
Expert Review of Clinical Pharmacology,3.481,Q2
Biogeosciences,3.48,Q1 Q1Q1
International Journal of Mechanics and Materials in Design,3.48,Q1 Q1Q2Q1
European Journal of Psychotraumatology,3.478,Q1 Q1Q1
INTERNATIONAL JOURNAL OF THERMAL SCIENCES,3.476,Q1 Q1Q1
JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,3.475,Q2 Q2Q2
BioImpacts,3.475,Q2
BIOCHEMICAL ENGINEERING JOURNAL,3.475,Q2 Q2Q2
EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS,3.474,Q1
PHARMACOTHERAPY,3.473,Q2
Cancer Prevention Research,3.473,Q2
APPLIED MATHEMATICS AND COMPUTATION,3.472,Q1
International Entrepreneurship and Management Journal,3.472,Q2 Q2Q2
ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,3.472,Q1 Q2Q2Q1Q1
Journal of Applied Research in Memory and Cognition,3.472,Q1
QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY,3.471,Q2
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,3.47,Q1
Biomolecules & Therapeutics,3.47,Q2
Expert Opinion on Drug Metabolism & Toxicology,3.47,Q2 Q2Q2Q2
AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,3.469,Q1 Q2Q1
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,3.468,Q1
IEEE Transactions on Control of Network Systems,3.467,Q2 Q2Q2
PANMINERVA MEDICA,3.467,Q1
BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,3.465,Q2 Q2Q2
Journal of Water Process Engineering,3.465,Q1 Q2Q2Q1
